"date","IVV","VEA","IEF","TLT","TIP","EMB","HYG","GLD","RWX","SHY"
"2010-01-08",93.16687,26.084736,71.577858,66.67115,85.393066,62.993698,48.501678,111.370003,20.347063,75.835213
"2010-01-15",92.388847,25.908195,72.454887,68.007744,85.711365,62.975258,48.177189,110.860001,20.136602,76.008316
"2010-01-22",88.83107,24.436975,72.905434,68.694649,85.858307,62.85815,46.92786,107.169998,19.175278,76.154137
"2010-01-29",87.250725,23.789639,72.977898,68.926102,86.103188,62.347038,46.635803,105.959999,18.987564,76.181404
"2010-02-05",86.74015,23.186436,73.333046,68.922371,85.946136,61.282005,46.299526,104.68,18.953432,76.330978
"2010-02-12",87.842354,23.65723,72.751839,67.5811,85.062897,62.012211,45.727242,107.040001,18.92499,76.21244
"2010-02-19",90.378983,24.06181,72.307838,67.026566,84.923859,62.451572,47.291481,109.470001,19.141146,76.084778
"2010-02-26",89.998077,23.966188,73.220039,68.690109,84.981102,63.175632,47.509491,109.43,19.28335,76.303589
"2010-03-05",92.891335,25.091677,73.045235,67.855698,84.927132,63.804302,48.226608,110.809998,20.062651,76.189537
"2010-03-12",93.855713,25.312355,72.964279,68.013557,85.229744,64.593933,48.429745,107.949997,19.909067,76.107376
"2010-03-19",94.674263,25.179934,73.045235,68.599876,85.205162,65.085213,48.369339,108.279999,19.883163,76.070885
"2010-03-26",95.270988,25.173307,72.308609,66.863441,84.640816,64.730759,48.665836,108.589996,19.871735,76.025261
"2010-04-01",96.206932,25.850281,72.296013,67.112442,84.961372,64.854668,48.405823,110.260002,20.431658,76.070839
"2010-04-09",97.582367,25.975372,72.304138,67.135071,85.306358,65.060837,48.925816,113.639999,20.568785,76.034286
"2010-04-16",97.492851,25.784046,73.002281,67.799049,85.955231,65.79171,48.936916,111.239998,20.391665,76.226151
"2010-04-23",99.405434,25.651608,72.71817,67.987633,85.979897,65.40435,49.550934,113.190002,20.580217,76.089111
"2010-04-30",97.045212,24.768591,73.643585,69.511726,87.113396,65.154526,49.456894,115.360001,20.203123,76.326683
"2010-05-07",90.713364,22.340294,74.842903,72.366089,87.337952,62.412891,47.072113,118.269997,18.403351,76.535187
"2010-05-14",93.008453,22.774445,74.85923,71.836082,87.691658,64.684517,47.902344,120.370003,18.746166,76.608307
"2010-05-21",89.036781,22.053312,76.080521,74.523895,87.329773,63.429462,46.971817,115.220001,17.974833,76.663261
"2010-05-28",89.280968,21.913506,75.803696,73.062653,87.28035,63.969139,47.144562,118.879997,17.957697,76.672363
"2010-06-04",87.197456,21.302752,76.407928,74.290283,87.620193,64.038467,46.916012,119.190002,17.626308,76.774002
"2010-06-11",89.51696,22.2152,76.260948,74.00161,87.42173,64.422928,47.309036,120.010002,18.460482,76.728241
"2010-06-18",91.649315,22.987837,76.375252,74.214333,87.851692,65.37471,48.437611,122.830002,18.847326,76.783096
"2010-06-25",88.51458,22.583126,77.118233,75.247498,88.182442,65.236061,48.117554,122.760002,18.78969,76.92955
"2010-07-02",83.879166,21.722187,77.940857,76.803337,87.72673,65.439384,47.907646,118.489998,18.178747,76.968872
"2010-07-09",88.547287,23.142368,77.490608,75.607018,87.660431,66.256058,48.9823,118.360001,19.072117,76.941422
"2010-07-16",87.517174,22.899538,78.472946,76.810974,87.652122,66.851196,49.050194,116.669998,19.014479,77.069672
"2010-07-23",90.566597,23.834063,78.161858,76.033722,87.560921,67.81356,50.254959,116.089996,20.109577,77.042191
"2010-07-30",90.493011,24.025383,78.824982,76.567154,88.182701,68.155418,50.124878,115.489998,20.259432,77.142921
